gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_x,gh_radius
,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
129,0,0.0002,-0.0006,0.0000,0.1936,1.6,-1.0,99.7,-2.2,0.0,0.0000,7.3,111.2,0,0.0026,-0.0141,-0.0037,0.1203
130,0,-0.0037,0.0460,-0.0963,0.2629,3.1,0.7,99.7,-3.0,0.0,0.0000,1.2,139.4,0,0.0020,0.0377,-0.1032,0.1358
130,0,-0.0028,-0.0007,-0.0001,0.2629,3.1,0.7,100.0,-3.0,0.0,0.0000,1.0,133.1,0,0.0019,-0.0073,-0.0069,0.1353
131,0,-0.0018,0.1043,-0.1591,0.2630,3.1,0.8,99.0,-3.7,0.0,0.0000,2.0,100.3,0,0.0028,0.0865,-0.1664,0.1342
131,0,-0.0015,-0.0015,0.0003,0.2628,3.1,0.8,99.3,-3.8,0.0,0.0000,1.4,108.6,0,0.0022,-0.0167,-0.0072,0.1338
132,0,0.0088,-0.0519,-0.0114,0.1931,1.6,-1.0,99.6,-1.2,-0.1,0.0000,6.4,102.1,0,0.0098,-0.0610,-0.0155,0.1201
132,0,-0.0002,0.0004,0.0009,0.1939,1.6,-1.1,100.4,-1.2,-0.1,0.0000,6.4,99.4,0,0.0003,-0.0111,-0.0033,0.1196
133,0,0.0052,-0.0025,-0.0459,0.1950,1.6,-1.1,100.7,-2.1,-0.1,0.0000,6.1,107.2,0,0.0082,-0.0147,-0.0499,0.1192
133,0,0.0000,-0.0031,0.0004,0.1945,1.6,-1.0,100.2,-2.1,-0.1,0.0000,5.9,106.7,0,0.0032,-0.0143,-0.0036,0.1195
134,0,0.0051,0.0424,-0.0920,0.2592,3.2,1.0,96.3,-2.9,-0.1,0.0000,1.4,9.5,0,0.0040,0.0362,-0.0983,0.1408
134,0,0.0010,-0.0009,-0.0002,0.2578,3.2,1.1,95.3,-2.9,-0.1,0.0000,1.4,-15.2,0,-0.0002,-0.0056,-0.0065,0.1404
135,0,0.0041,0.1017,-0.1555,0.2631,3.2,0.8,98.8,-3.7,0.0,0.0000,2.0,83.7,0,0.0037,0.0832,-0.1628,0.1328
135,0,-0.0006,-0.0045,0.0023,0.2622,3.1,0.8,98.6,-3.8,0.0,0.0000,1.2,85.4,0,-0.0007,-0.0209,-0.0047,0.1328
200,0,-0.0164,0.1393,-0.0055,0.3108,4.4,2.4,95.8,0.3,-0.2,0.0000,1.5,99.1,0,-0.0144,0.1343,-0.0170,0.1663
200,0,0.0011,-0.0030,-0.0026,0.3098,4.5,2.4,95.0,0.2,-0.2,0.0000,0.6,138.0,0,0.0039,-0.0048,-0.0133,0.1655
201,0,-0.0113,0.0298,-0.0361,0.3059,4.5,2.5,92.9,2.0,-0.3,0.0000,1.6,-118.1,0,0.0706,-0.1650,-0.0537,0.0736
201,0,-0.0001,0.0013,-0.0001,0.3056,4.5,2.5,92.7,2.0,-0.3,0.0000,1.7,-130.3,0,0.0377,-0.2219,-0.0190,0.0848
202,0,-0.0129,0.1319,-0.0013,0.3074,4.6,2.6,92.7,0.3,-0.2,0.0000,1.5,123.0,0,-0.1233,-0.0946,-0.0125,0.0656
202,0,0.0012,-0.0036,-0.0030,0.3062,4.6,2.6,92.0,0.2,-0.2,0.0000,0.7,149.1,0,0.0922,-0.2435,-0.0155,0.0596
203,0,-0.0026,0.0272,-0.0376,0.3028,4.7,2.7,89.6,2.0,-0.2,0.0000,1.5,-102.6,0,-0.0004,0.0357,-0.0461,0.1676
