timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
6/21/2022 8:38,adjust_1-2,0,-0.0014,-0.0026,0.0024,0.1944,1.7,-0.9,98.9,-0.1,0,0,3.5,100.7,0,-0.0044,-0.0072,-0.002,0.1219
6/21/2022 8:44,random_0.25in_10deg,0,-0.1861,0.2862,0.1344,0.1961,1.7,-0.9,99.2,-10.1,-10.1,0,6.6,103.3,0,-0.2035,0.2544,0.1401,0.1259
6/21/2022 8:44,adjust_3,0,-0.0053,-0.0034,0.0096,0.1954,1.7,-1,99.9,-0.1,-0.1,0,3.2,95.5,0,0.2324,-0.332,0.005,0.0614
6/21/2022 8:44,adjust_1-1,0,-0.0011,-0.0031,0.0001,0.1943,1.7,-0.9,98.8,0,-0.1,0,3.3,98.2,0,-0.0033,-0.0076,-0.0041,0.123
6/21/2022 8:44,adjust_1-2,0,-0.0014,-0.0025,-0.0001,0.1942,1.7,-0.9,98.8,0,-0.1,0,3.8,103.3,0,-0.0039,-0.007,-0.0044,0.1223
6/21/2022 8:44,random_0.25in_10deg,0,-0.1102,-0.0456,-0.1179,0.1942,1.7,-0.9,98.4,-1.6,-5.3,0,4.5,105.3,0,-0.1179,-0.0535,-0.1211,0.1219
6/21/2022 8:44,adjust_3,0,0.0011,0.0014,0.0053,0.1945,1.7,-0.9,99.1,0,-0.1,0,3.3,95.9,0,0.0001,-0.0023,0.0011,0.1226
6/21/2022 8:44,adjust_1-1,0,0.0007,0.0015,0,0.1946,1.7,-0.9,99,0,0,0,3.5,94.2,0,-0.0018,-0.0024,-0.0043,0.1224
6/21/2022 8:44,adjust_1-2,0,0.0008,0.0016,0,0.1946,1.7,-0.9,98.9,0,0,0,3.6,98,0,-0.0018,-0.002,-0.0044,0.1222
6/21/2022 8:45,random_0.25in_10deg,0,-0.0443,0.1871,-0.1846,0.1956,1.7,-1,100,3.9,-6.4,0,5.1,108.7,0,-0.0521,0.1848,-0.1877,0.1207
6/21/2022 8:45,adjust_3,0,0.0077,-0.0037,0.01,0.1948,1.7,-0.9,99.3,-0.1,0,0,3.2,88.1,0,0.0055,-0.0074,0.0058,0.1225
6/21/2022 8:45,adjust_1-1,0,-0.0009,-0.0033,0.0005,0.1943,1.7,-0.9,98.8,-0.1,0,0,3.8,99.6,0,-0.0025,-0.0073,-0.0037,0.1225
6/21/2022 8:45,adjust_1-2,0,-0.0006,-0.0036,0.0004,0.1942,1.7,-0.9,98.7,-0.1,0,0,3.5,96.4,0,-0.0031,-0.0078,-0.0039,0.1226
6/21/2022 8:45,random_0.25in_10deg,0,-0.0576,0.1759,-0.1554,0.1952,1.6,-1,100.2,5.5,-10.2,0,4.9,104.7,0,-0.0693,0.1756,-0.1571,0.1201
6/21/2022 8:45,random_0.25in_10deg,0,-0.1781,-0.1599,-0.2561,0.1945,1.7,-0.9,98.7,0.7,5,0,1.4,103.8,0,-0.1769,-0.1586,-0.2597,0.1213
6/21/2022 8:45,adjust_3,0,-0.0038,0.0038,-0.0037,0.1964,1.6,-1.1,100.9,0.1,0,0,4,104.5,0,-0.4967,0.0559,-0.0093,0.0666
6/21/2022 8:45,adjust_1-1,0,-0.0037,0.0045,-0.0042,0.1947,1.7,-0.9,99.1,0.1,0,0,3.6,97.8,0,-0.0054,0.0011,-0.0086,0.1218
6/21/2022 8:45,adjust_1-2,0,-0.0035,-0.0002,-0.0002,0.1946,1.7,-0.9,99.3,0.1,0,0,3.4,101.8,0,-0.005,-0.003,-0.0045,0.1219
6/21/2022 8:45,random_0.25in_10deg,0,-0.1365,-0.1541,-0.0267,0.1943,1.6,-0.9,99.3,2.4,-6.4,0,1.7,112.1,0,-0.1451,-0.1515,-0.0294,0.1215
6/21/2022 8:45,adjust_3,0,0.0022,0.0021,0.01,0.1952,1.6,-1,99.9,0.2,0,0,3.1,103.9,0,0.0009,-0.0007,0.0058,0.123
6/21/2022 8:45,adjust_1-1,0,0.0014,0.0017,0.0008,0.1945,1.7,-0.9,98.7,0.2,0,0,3.3,99.2,0,-0.0005,-0.0011,-0.0034,0.1221
6/21/2022 8:46,adjust_1-2,0,0.0016,0.0028,0.0009,0.1946,1.7,-0.9,99.2,0.2,0,0,4,94.6,0,0.0001,-0.0016,-0.0035,0.1227
6/21/2022 8:46,random_0.25in_10deg,0,0.0343,-0.0131,-0.0319,0.1959,1.7,-0.9,99.4,-5.5,6,0,5.6,94.7,0,0.0377,-0.0285,-0.0348,0.1234
6/21/2022 8:46,adjust_3,0,-0.0104,0.0006,-0.0056,0.1947,1.7,-0.9,99.3,0,0,0,3.7,103.5,0,-0.0109,-0.0036,-0.0097,0.1235
6/21/2022 8:46,adjust_1-1,0,0.0006,0.0008,-0.0006,0.1946,1.7,-0.9,99,0,0,0,3.4,100.4,0,-0.0019,-0.0024,-0.005,0.1217
6/21/2022 8:46,adjust_1-2,0,0.0005,0.0016,-0.0007,0.1943,1.7,-0.9,98.7,0,0,0,4.1,100.1,0,-0.0024,-0.0026,-0.0051,0.1218
6/21/2022 8:46,random_0.25in_10deg,0,0.1695,0.2957,0.0736,0.1956,1.7,-0.9,98.8,-10.8,9.2,0,8.2,88.7,0,0.1829,0.2748,0.0765,0.1183
6/21/2022 8:46,adjust_3,0,-0.0108,-0.0017,-0.0146,0.1945,1.7,-0.9,99,-0.2,0,0,3.4,99.1,0,-0.0128,-0.0065,-0.0188,0.1227
6/21/2022 8:46,adjust_1-1,0,-0.0004,-0.0028,0.0002,0.1943,1.7,-0.9,98.8,-0.2,0,0,3.2,104,0,-0.0025,-0.0073,-0.0041,0.1229
6/21/2022 8:46,adjust_1-2,0,0.0001,-0.0017,0,0.1945,1.7,-0.9,99.1,-0.1,0,0,3.8,98.5,0,-0.0016,-0.0059,-0.0043,0.1223
6/21/2022 8:46,random_0.25in_10deg,0,-0.0857,0.1547,0.1899,0.1954,1.6,-1.1,101,4,-8.7,0,5.3,94.4,0,-0.0965,0.1521,0.1874,0.1207
6/21/2022 8:46,adjust_3,0,0.0067,-0.0031,0.0103,0.1961,1.6,-1.1,100.9,-0.1,0,0,3.9,78.8,0,-0.2681,0.1289,0.0047,0.0702
6/21/2022 8:46,adjust_1-1,0,-0.0006,-0.0032,-0.0003,0.1944,1.7,-0.9,98.9,0,0,0,3.2,95.1,0,-0.003,-0.0069,-0.0045,0.1223
6/21/2022 8:46,adjust_1-2,0,-0.0006,-0.0034,-0.0003,0.1942,1.7,-0.9,98.7,0,0,0,3.3,97.7,0,-0.0028,-0.0083,-0.0046,0.1229
6/21/2022 8:47,random_0.25in_10deg,0,-0.1293,0.2638,0.1139,0.1957,1.6,-1,100.4,4.7,-1.3,0,6.3,100.3,0,-0.1308,0.2596,0.1105,0.122
6/21/2022 8:47,adjust_3,0,0.0036,-0.0059,0.0037,0.1943,1.7,-0.9,99,-0.2,0,0,3.3,98.3,0,0.001,-0.0105,-0.0006,0.1225
6/21/2022 8:47,adjust_1-1,0,0.0037,0.0009,0.0037,0.1945,1.7,-0.9,99,-0.2,0,0,3.6,97.1,0,0.0017,-0.0039,-0.0005,0.1225
6/21/2022 8:47,adjust_1-2,0,0.0037,0.0007,0.0037,0.1948,1.7,-0.9,99.2,-0.1,0,0,3.6,98.1,0,0.0016,-0.0038,-0.0006,0.1229
6/21/2022 8:48,random_0.25in_10deg,0,-0.0361,0.072,0.1681,0.1971,1.7,-1,100.6,-7.8,-1.6,0,5.6,95.3,0,-0.0405,0.0462,0.167,0.1281
6/21/2022 8:48,adjust_3,0,-0.0078,0.0013,-0.0026,0.1954,1.7,-1,99.7,-0.1,-0.1,0,4,100.3,0,-0.3776,-0.3067,-0.007,0.0733
6/21/2022 8:48,adjust_1-1,0,0.0003,0.0019,-0.0028,0.1942,1.7,-0.9,98.9,0,-0.1,0,3.8,96.7,0,-0.0015,-0.0023,-0.0071,0.1222
6/21/2022 8:48,adjust_1-2,0,0.0005,0.0018,-0.0028,0.1944,1.7,-0.9,98.8,0,-0.1,0,3.7,97.1,0,-0.0017,-0.0019,-0.0071,0.1222
6/21/2022 8:48,random_0.25in_10deg,0,0.2606,-0.143,-0.1643,0.195,1.7,-0.9,99.4,5.1,5.6,0,1.5,107.8,0,0.2664,-0.135,-0.1674,0.1227
6/21/2022 8:49,adjust_3,0,0.0026,0.0004,-0.0035,0.1944,1.7,-0.9,98.8,0.1,0.1,0,3.9,99,0,0.0005,-0.0036,-0.0077,0.123
6/21/2022 8:49,adjust_1-1,0,0.0026,0.0004,-0.0036,0.1946,1.7,-0.9,99.1,0.1,0.1,0,3.7,100.1,0,0.0009,-0.0041,-0.0079,0.1228
6/21/2022 8:49,adjust_1-2,0,0.0025,0.0006,-0.0037,0.1945,1.7,-0.9,98.9,0.1,0.1,0,4.1,101.7,0,0.0009,-0.0043,-0.008,0.1232
6/21/2022 8:49,random_0.25in_10deg,0,-0.1563,0.2499,0.0244,0.1957,1.7,-1,99.9,2.4,4.4,0,6.4,96.4,0,-0.154,0.2406,0.021,0.1223
6/21/2022 8:49,adjust_3,0,-0.0016,-0.0051,-0.0025,0.1946,1.7,-0.9,99.2,-0.2,0,0,3.6,93.6,0,-0.0039,-0.0106,-0.0067,0.1231
6/21/2022 8:49,adjust_1-1,0,-0.001,0,-0.003,0.1945,1.7,-0.9,99,-0.2,0,0,3.7,92.7,0,-0.0029,-0.0048,-0.0072,0.1227
6/21/2022 8:49,adjust_1-2,0,-0.0009,-0.0004,-0.003,0.1946,1.7,-0.9,99.1,-0.1,0,0,3.2,91.8,0,-0.003,-0.005,-0.0073,0.123
,,,,,,,,,,,,,,,,,,,
