time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:32:17.922000,108_adjust_3-1,0,-0.0001,0.0011,0.0006,0.1944,0.0635,-0.0422,100.48,0.00,0.01,0.0000,5.89,106.00,0,0.0018,-0.0087,-0.0041,0.1204,-0.00,0.01,-0.0048,0.0094
2022-11-11T11:32:23.342000,108_adjust_1-2,0,-0.0002,-0.0002,-0.0004,0.1947,0.0633,-0.0435,100.85,-0.00,-0.00,0.0000,5.87,107.53,0,0.0016,-0.0092,-0.0051,0.1203,-0.00,-0.00,-0.0058,0.0091
2022-11-11T11:32:27.612000,108_adjust_1,0,-0.0001,0.0000,0.0000,0.1946,0.0633,-0.0431,100.77,-0.00,-0.00,0.0000,5.80,108.11,0,0.0018,-0.0093,-0.0047,0.1201,-0.01,-0.00,-0.0054,0.0094
2022-11-11T11:32:33.704000,109_initial,0,0.0488,0.0327,-0.0389,0.1946,0.0643,-0.0396,99.89,-0.13,-0.10,0.0000,5.74,94.59,0,0.0432,0.0249,-0.0433,0.1239,-0.15,-0.13,-0.0439,0.0099
2022-11-11T11:32:39.164000,109_adjust_3-1,0,0.0008,0.0004,-0.0015,0.1944,0.0643,-0.0390,99.72,0.03,0.01,0.0000,5.12,97.26,0,-0.0042,-0.0059,-0.0059,0.1244,0.03,0.01,-0.0067,0.0097
2022-11-11T11:32:44.641000,109_adjust_1-2,0,0.0004,0.0001,-0.0002,0.1944,0.0643,-0.0393,99.77,-0.00,0.00,0.0000,5.09,91.61,0,-0.0053,-0.0070,-0.0046,0.1248,-0.00,0.00,-0.0054,0.0095
2022-11-11T11:32:48.807000,109_adjust_1,0,0.0002,0.0002,-0.0002,0.1944,0.0643,-0.0394,99.80,0.00,0.00,0.0000,5.20,90.95,0,-0.0054,-0.0063,-0.0046,0.1247,0.00,0.00,-0.0054,0.0097
2022-11-11T11:32:54.730000,110_initial,0,0.0472,0.0813,-0.0409,0.2628,0.1235,0.0323,99.01,-0.02,-0.14,0.0000,0.74,22.42,0,0.0439,0.0804,-0.0486,0.1383,-0.26,-0.27,-0.0501,0.0201
2022-11-11T11:33:00.165000,110_adjust_3-1,0,-0.0006,0.0000,0.0007,0.2628,0.1232,0.0316,99.17,0.05,0.01,0.0000,0.52,8.74,0,-0.0046,0.0004,-0.0070,0.1372,0.04,0.01,-0.0087,0.0197
2022-11-11T11:33:05.783000,110_adjust_1-2,0,0.0009,-0.0000,-0.0004,0.2626,0.1232,0.0317,99.12,0.00,0.00,0.0000,0.62,-2.89,0,-0.0030,0.0007,-0.0080,0.1378,-0.01,-0.00,-0.0098,0.0198
2022-11-11T11:33:09.887000,110_adjust_1,0,0.0000,0.0002,0.0000,0.2627,0.1231,0.0316,99.16,-0.00,-0.00,0.0000,0.60,9.88,0,-0.0046,0.0003,-0.0077,0.1375,-0.01,-0.00,-0.0094,0.0197
2022-11-11T11:33:15.781000,111_initial,0,0.0454,0.1417,-0.0406,0.2636,0.1231,0.0309,99.55,0.22,-0.17,0.0000,1.61,81.88,0,0.0448,0.1335,-0.0494,0.1357,-0.18,-0.30,-0.0504,0.0202
2022-11-11T11:33:21.277000,111_adjust_3-1,0,-0.0000,-0.0037,0.0026,0.2631,0.1226,0.0303,99.56,-0.01,0.01,0.0000,0.77,60.56,0,-0.0011,-0.0076,-0.0059,0.1352,-0.01,0.01,-0.0073,0.0193
2022-11-11T11:33:26.709000,111_adjust_1-2,0,0.0003,0.0006,-0.0004,0.2632,0.1224,0.0299,99.69,0.00,-0.00,0.0000,0.86,69.67,0,0.0000,-0.0041,-0.0089,0.1356,-0.02,-0.00,-0.0102,0.0192
